case_id,province,city,group,infection_case,confirmed,latitude,longitude
1,Philippines,Roxas,true,Jay,50,14.6103278,121.0080574
2,Latvia,Mērsrags,true,Commercial,170,57.330777,23.102146
3,Ukraine,Voyinka,true,Corscot,135,45.8699,33.99138
4,Croatia,Novi Vinodolski,false,Brickson Park,156,45.1285255,14.7897992
5,Portugal,Quinta,false,Troy,195,40.9515138,-8.5904113
6,Peru,Huasahuasi,true,Muir,192,-11.2648012,-75.6491753
7,China,Shimen,false,Service,160,29.584292,111.380014
8,Spain,Lleida,false,Hazelcrest,100,41.6445836,0.587269
9,Indonesia,Krajan Rowokangkung,false,Boyd,99,-8.2307484,113.2998705
10,Poland,Małkinia Górna,true,2nd,80,52.6934663,22.0269962
11,Philippines,Bislig,true,Fieldstone,20,8.1890712,126.3547613
12,Philippines,Looc,false,South,131,12.261245,121.990929
13,Bolivia,Coripata,false,West,43,-16.3134305,-67.6036362
14,Indonesia,Gapluk,false,Clemons,62,-7.2033646,111.6630914
15,United Kingdom,Linton,true,Maywood,18,54.0542238,-2.0215836
16,Slovenia,Ruše,true,Memorial,126,46.5399962,15.5073987
17,Czech Republic,Dolany,true,Marquette,105,49.6498731,17.3224082
18,Croatia,Ferdinandovac,true,Dakota,53,46.0523136,17.2018057
19,Poland,Wilga,true,Moland,125,51.8407513,21.4105498
20,Poland,Książ Wielkopolski,false,Sugar,90,52.0609041,17.239347
21,China,Dayan,false,Trailsway,66,26.8718026,100.2358502
22,Croatia,Imotski,true,Division,98,43.4471085,17.2139989
23,Thailand,Yarang,true,Ridgeway,76,6.6930902,101.3090737
24,Ivory Coast,Agnibilékrou,true,Dorton,125,7.1302807,-3.2030756
25,Morocco,Zoumi,true,Waxwing,84,34.8032705,-5.3442408
26,Czech Republic,Bílovice,false,Bonner,30,49.0996492,17.5496163
27,Mali,Bla,false,Blue Bill Park,36,12.9549865,-5.7563151
28,Russia,Udachny,false,Homewood,196,66.407021,112.2977807
29,Russia,Rostov,true,Bayside,111,57.195623,39.4131527
30,Philippines,Baugo,false,Longview,186,10.3826093,124.9206233
31,United States,Milwaukee,false,Stoughton,159,42.3745311,-88.1263369
32,Peru,Canta,true,Rigney,110,-11.4691392,-76.6232202
33,Philippines,Angatel,true,Forster,26,15.8137804,120.3404633
34,Indonesia,Kedungreja,true,Luster,156,-7.5153339,108.7660364
35,Germany,Kiel,false,David,8,54.3418823,10.1150681
36,Brazil,São Gonçalo do Sapucaí,true,Golf View,104,-21.8930428,-45.5939292
37,Russia,Shelopugino,false,Valley Edge,183,51.6455621,117.5825811
38,Sweden,Kävlinge,true,Lakewood Gardens,112,55.8625501,13.1435643
39,Israel,Kefar Yona,false,Eliot,138,32.317719,34.933615
40,Bosnia and Herzegovina,Gostovići,true,Clarendon,85,43.7356628,17.8317085
41,Sri Lanka,Peliyagoda,false,Sycamore,130,6.964703,79.881693
42,Brazil,Maracanã,true,Redwing,164,-0.8086425,-47.4882762
43,Portugal,Pomar,false,Westerfield,131,42.046011,-8.4825685
44,Netherlands,Nijmegen,false,Sage,179,51.8417492,5.8715134
45,United States,Chandler,true,Crowley,67,33.3107008,-111.8749872
